PlayerValue,DealerValue,hasUsableAcePlayer,hasUsableAceDealer,Q(HIT),Q(STAND)
20,10,false,false,-0.9882196736338573,0.6026587773922097
15,9,false,false,-0.3750194655814543,-0.9083857794147489
20,7,true,false,0.1014876537310765,0.8150798565480605
15,7,false,false,-0.4687233794619995,-0.8930897290151381
15,8,false,false,-0.11094114124009538,-0.9212817722733062
14,9,true,false,-0.23090217124062767,-0.3393360678709
15,6,false,false,-0.8858806792039258,-0.1279451572751478
18,6,true,false,0.10399712498876107,-0.12361423785317918
15,3,false,false,-0.7642714692953547,-0.21977198178808496
15,4,false,false,-0.7490226885705915,-0.05487860330959536
12,10,true,false,-0.1516040759992573,-0.41167469545039004
17,10,true,false,-0.30619768694727706,-0.5781130697215211
15,5,false,false,-0.7324313637578737,-0.862783064236237
15,2,true,false,-0.15587770846564594,-0.516920131
15,2,false,false,-0.5424066194085561,-0.865814697022673
19,11,false,true,-0.819673835421756,0.33160466956237256
14,3,true,false,-0.02143948451496843,-0.27631279000000003
21,10,true,false,-0.06550788359775665,0.8964205978359101
14,11,false,true,-0.5942228573358078,-0.9334911054930969
13,3,true,false,-0.12005880957631038,-0.4140790560146657
13,4,true,false,0.09643675631944418,-0.2301167426805499
12,4,true,false,0.0023296264243779403,-0.061605100000000024
19,5,true,false,0.0419666860748892,-0.14948052705822765
14,11,true,true,-0.288728154924209,-0.5475350153664045
13,11,true,true,-0.41612584887061976,-0.5609328212264989
12,5,true,false,-0.018307536329654782,-0.18217089192979546
21,10,false,false,-0.9999550180377524,0.8956194509361031
20,8,false,false,-0.9033802299268856,0.9445644691395979
20,9,false,false,-0.8386081890981872,0.9119252936150724
20,4,false,false,-0.9881948893631576,0.4263970417591231
14,9,false,false,-0.2688077142038372,-0.9328248030895832
14,8,false,false,-0.5416187693911344,-0.8404535431446509
20,3,false,false,-0.7655037342285729,0.8697157490177838
20,5,false,false,-0.7029772571796324,0.7188516897362496
14,7,false,false,-0.5913950155662995,-0.708791751377578
16,7,true,false,-0.08459773476816373,-0.5652281179
14,4,false,false,-0.8188548400525687,-0.0065390759024617495
14,5,false,false,-0.7147671551812702,0.07006280689708197
20,7,false,false,-0.872533925196884,0.7487107891310412
20,6,false,false,-0.9903188765487598,0.32494170982421067
14,6,false,false,-0.7903791890035474,0.035988402348375664
20,6,true,false,0.3582063690815233,0.15201611127016007
14,3,false,false,-0.8211543818500773,-0.6679376532450171
18,10,true,false,-0.13054983274735826,-0.494834902101079
16,8,true,false,-0.25667583127422144,-0.4249347605420734
20,2,false,false,-0.949526693067991,0.5565242944634917
15,10,false,false,-0.3548037489872683,-0.9110892716172594
14,2,false,false,-0.19560574397588532,-0.8412401198117574
14,8,true,false,0.16898072435159045,-0.28324459
15,11,false,true,-0.5474932960186605,-0.9404499710499454
17,8,true,false,0.032276404182805904,-0.41297299700490075
16,10,false,false,-0.6883583878852068,-0.8994384661562017
17,2,true,false,-0.14817989958878722,-0.31704497976232077
12,9,true,false,-0.06241918107962647,-0.46855900000000006
13,10,false,false,-0.20296383420652866,-0.8394124880427105
20,10,true,false,-0.2064230366293668,0.42433417762088127
16,6,true,false,0.04404463652806946,-0.337339
12,6,true,false,0.11041991187079175,-0.27829000000000004
13,2,true,false,0.07145851239120253,-0.271
18,7,true,false,-0.10012651947590177,-0.1365175638317374
19,10,false,false,-0.840767711083528,0.10576764017963865
19,7,true,false,0.017309588481228655,0.5888347634413851
19,8,false,false,-0.6359618051365711,0.6434611069650372
15,3,true,false,0.045081622824985214,-0.40385372543976783
20,8,true,false,0.06544606374319745,0.7396585211956703
16,8,false,false,-0.5986273545001511,-0.968405527426268
16,6,false,false,-0.8018830473986058,-0.03146128457171239
16,2,false,false,-0.8929245069398759,-0.26886352851229856
16,4,false,false,-0.8895695428414673,-0.27134075191874885
18,5,true,false,0.04433677419223096,-0.13258937353132044
18,4,false,false,-0.5152558769276996,0.34025933181857865
13,11,false,true,-0.5519726858926256,-0.8424119865574751
18,8,false,false,-0.6580794353050622,0.28719024609217164
12,10,false,false,-0.44544045280630473,-0.8457734097555247
21,7,true,false,0.47897837038468044,0.8432367842331091
15,9,true,false,-0.3380889897538466,-0.398822131
16,2,true,false,-0.039515424796138565,-0.41541490000000003
18,2,false,false,-0.7783043274177186,0.11445884008530688
17,6,true,false,0.19456255642559903,-0.26066609700117915
17,6,false,false,-0.7821749121859601,0.5928864597924385
20,11,true,true,-0.4850647795701717,-0.172004619818596
12,11,false,true,-0.5063822496990013,-0.8290560402976034
12,2,true,false,-0.026577609354686678,-0.19685341
17,4,false,false,-0.6293875553320345,0.5743234392966436
13,6,true,false,-0.2133154606455327,-0.16962394362664548
19,6,false,false,-0.6256860739977429,0.6307382545769193
21,5,true,false,0.42737954066529843,0.7924026864207864
19,4,false,false,-0.965838618801176,0.4931402116825925
15,7,true,false,0.07535215717994347,-0.30124459000000003
17,8,false,false,-0.8969169623856444,-0.4764476388307872
19,2,false,false,-0.7942041845013093,0.2923819797041249
