PlayerValue,Q(HIT),Q(STAND)
12,-0.2514112626738176,-0.8682711364926229
13,-0.210330051967105,-0.658434223689022
14,-0.5029335231317226,-0.9057043289813596
15,-0.3210969059502193,-0.9133004070501962
16,-0.6230869191612259,-0.8308561956190152
17,-0.784943671194302,-0.21271654391714123
18,-0.756356946717872,0.15000060472228066
19,-0.8401529467211215,0.31185313857867486
20,-0.5642890778613888,0.516537703323263
21,-0.4151322272645607,0.9792989203551157
